"Lokalax";"";"";"60.681144";"21.465615";"Suomi";"1"
"Loukinainen, Lundo";"";"";"60.485194";"22.400815";"Suomi";"1"
"Lund";"Stift";"";"55.703837";"13.195268";"Ruotsi";"1"
"Lund";"";"";"55.70466";"13.191007";"Ruotsi";"5"
"Lundo";"";"";"60.503325";"22.459291";"Suomi";"3"
"Lundås, Edebo";"";"";"60.046745";"18.58862";"Ruotsi";"1"
"Lübeck";"";"";"53.865467";"10.686559";"Saksa";"42"
"Lyon";"";"";"45.764043";"4.835659";"Ranska";"11"
"Långbacka, S:t Marie";"";"";"60.458333";"22.230556";"Suomi";"5"
"Långholmen, Stockholm";"";"";"59.321045";"18.028053";"Ruotsi";"3"
"Lödöse";"";"";"58.032741";"12.156206";"Ruotsi";"10"
"Magliano Romano";"";"";"42.15";"12.433333";"Italia";"5"
"Malko, Letala";"";"";"60.908268";"21.766515";"Suomi";"1"
"Malmö";"";"";"55.604981";"13.003822";"Ruotsi";"2"
"Mariefred";"Kloster";"";"59.2583";"17.2246";"Ruotsi";"1"
"Marienburg";"Slott";"Malbork";"54.039722";"19.027778";"Puola";"8"
"Mariendal";"Kloster";"Pirita";"59.466539";"24.835994";"Viro";"3"
"Masku";"Kyrka";"";"60.564528";"22.098361";"Suomi";"1"
"Masku";"";"";"60.57081";"22.101407";"Suomi";"3"
"Matikkala, Vittis";"";"";"61.178554";"22.710787";"Suomi";"2"
"Metsäkylä";"";"";"";"";"Suomi";"1"
"Miemala, Vånå";"By";"";"60.956951";"24.497593";"Suomi";"1"
"Monikkala, Janakkala";"";"";"60.889067";"24.619916";"Suomi";"1"
"Mortorp";"";"";"56.589358";"16.086454";"Ruotsi";"1"
"Moskva";"";"";"55.755826";"37.6173";"Venäjä";"2"
"Mustiala, Tammela";"";"";"60.818388";"23.76981";"Suomi";"1"
"Muurla, Uskela";"";"";"60.349651";"23.279971";"Suomi";"3"
"Myttäälä, Pälkäne";"";"";"61.337862";"24.20664";"Suomi";"1"
"Mångstekta, Sund";"";"";"60.252882";"20.228719";"Suomi";"1"
"Mäenkylä, Virmo";"";"";"60.676684";"21.991692";"Suomi";"1"
"Mäskälä, Vånå";"";"";"61.001687";"24.554367";"Suomi";"3"
"Nakka";"";"";"60.670595";"21.577865";"Suomi";"1"
"Napoli";"";"";"40.851775";"14.268124";"Italia";"2"
"Narva";"";"";"59.37968";"28.179133";"Viro";"11"
"Nedre Sastamala";"";"Tyrvis";"61.341559";"22.909713";"Suomi";"1"
"Neghennor, Kiviloo";"Gård";"Fegefeuer";"59.285556";"25.251111";"Viro";"1"
"Neumühlen, Riga";"";"Nienmolen";"56.949678";"24.10516";"Latvia";"1"
"Nidaros";"Biskopsgård";"Trondheim";"63.429722";"10.393333";"Norja";"1"
"Nidaros";"";"Trondheim";"63.420956";"10.321571";"Norja";"1"
"Noor";"";"Norsholm";"58.505497";"15.967292";"Ruotsi";"1"
"Norrfinne";"Lagsaga";"";"61.003166";"22.289405";"Suomi";"1"
"Norrnäs";"";"";"";"";"Ruotsi";"1"
