issue_place_raw,n_charters
Flensborg byting,1
Flensborg rådhus,1
Flensborg slot,1
Flensborg],1
Flintarp,1
Fontainebleau,1
Foran Guldborg,1
Foran Koldinghus,1
Foran Ringstaholm,1
Foran Skodborg,1
Foran borgen Ålborg,1
Forstena,1
Fouron,1
Framlev Herredsting,1
Franciskanerklosteret i Lund,1
Freienwalde,1
Fresnay,1
Fresnoy,1
Fryele,1
Fulltofta,1
Fyn,1
Fyns Landsting,1
Färlöv,1
Fåborg,1
Fåborg kirke,1
Fågelvik,1
"Fæbæk, Langeland",1
Fæmø,1
Fænøkalv,1
Før Vester herredsting,1
Før Vesterherred herredsting,1
Fürstenberg a. O,1
Fürstenberg a. O.,1
Gaeta,1
Gaiete,1
Galenbeck,1
Galten Herredsting,1
Galtenkær,1
Gamla Sigtuna,1
Gandenitz,1
Gartsin,1
Gartz,1
Gavnø,1
Gebennis*,1
Gedesbygård,1
Gedsted,1
"Genazzano og Rom, Santi Apostoli",1
Gerdrup,1
Gern herredsting,1
Gertruidenberg,1
Getakir ved Varberg,1
Gingst,1
Gjerlev herredsting,1
Gjorslev,1
Gladsax,1
Gladsaxe,1
Glambek,1
Goldingen,1
Gorinchem,1
Gotha Augustinerkloster,1
Graft,1
Granges,1
Grebin,1
Greisfwald,1
Grevlunda,1
Grieben,1
Grobe,1
Grobenitz,1
Gränna,1
Gråbrødre kloster i Odense,1
Grånna,1
Græse,1
Grødesby,1
Gudhems kloster,1
Gudmuntorp,1
Guildford,1
Guldstav,1
Gumlösa,1
Gummetorp,1
Gärds herredsting,1
Gärdslöf,1
Gärdslöv,1
Gården Gedser,1
Gåsevadsholm,1
Gærds herredsting,1
Görlitz,1
Göttingen,1
Güstrow slot,1
Haderslev byting,1
Haderslevhus,1
Hagenau,1
Hald,1
Halland,1
Halle,1
Hallelev,1
Hallenslevlund,1
Halmstad landsting,1
Hamborg,1
Hameln,1
Hammerhus,1
Hamneda ting,1
Han herredsting,1
