navn,name_base,art,layers,n_units,n_versions,earliest_fra,latest_til,ambiguous,spread_km,lat,lon,candidates
Tiset Pastorat,Tiset,Pastorat,Pastorat,1,4,1873-06-07,9999-12-31,no,0.0,56.064177,10.106405,
Tiset Sogn,Tiset,Sogn,Sogn,1,4,1000-01-01,9999-12-31,no,0.0,56.064177,10.106405,
Tiset Sognekommune,Tiset,Sognekommune,Sognekommune,1,2,1868-01-01,1963-04-01,no,0.0,56.06421,10.106458,
Tiset-Hvilsted Pastorat,Tiset-Hvilsted,Pastorat,Pastorat,1,1,1933-07-01,1943-04-01,no,0.0,56.045266,10.091198,
Tislum Ejerlav,Tislum,Ejerlav,Ejerlav,1,1,1000-01-01,1886-07-02,no,0.0,57.439427,10.271332,
Tislum Nørgård Ejerlav,Tislum Nørgård,Ejerlav,Ejerlav,1,1,1000-01-01,1886-07-02,no,0.0,57.451061,10.267359,
Tislund Sognekommune,Tislund,Sognekommune,Sognekommune,1,1,1921-04-01,1966-04-01,no,0.0,55.211201,9.120494,
Tisted Ejerlav,Tisted,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.779073,10.032402,
Tisted-Binderup-Durup Pastorat,Tisted-Binderup-Durup,Pastorat,Pastorat,1,3,1821-05-02,9999-12-31,no,0.0,56.741858,9.59602,
Tistrup Ejerlav,Tistrup,Ejerlav,Ejerlav,1,2,1000-01-01,9999-12-31,no,0.0,55.717055,8.612978,
Tistrup Sogn,Tistrup,Sogn,Sogn,1,2,1000-01-01,9999-12-31,no,0.0,55.733376,8.625692,
Tistrup Sognekommune,Tistrup,Sognekommune,Sognekommune,1,1,1923-04-01,1969-04-01,no,0.0,55.733368,8.625677,
Tistrup-Hodde Sognekommune,Tistrup-Hodde,Sognekommune,Sognekommune,1,1,1842-01-01,1923-04-01,no,0.0,55.718774,8.644499,
Tisvilde Ejerlav,Tisvilde,Ejerlav,Ejerlav,1,3,1000-01-01,9999-12-31,no,0.0,56.047104,12.084876,
Tisvildeleje Ejerlav,Tisvildeleje,Ejerlav,Ejerlav,1,1,1738-01-01,9999-12-31,no,0.0,56.059767,12.068332,
Tiufkær Ejerlav,Tiufkær,Ejerlav,Ejerlav,1,1,1000-01-01,9999-12-31,no,0.0,55.625042,9.52424,
