issue_place_raw,n_charters
in Castro nostro Scinnis (Stumis?),1
”Hweem”,1
"Fotskäl, Marks härad",1
Österåkers kyrka,1
/Rom/ ”apud S. Triphonem”,1
Rom ”apud S. Triphonem”,1
Ekholms slott i Gästrikland ?,1
Fryeled,1
Faxeholm,1
Våla hundares tingstad,1
”Huitaryd”,1
Tuchel,1
”Cardewaye vid Wittensten”,1
Jönåkers härads tingstad,1
”Djufvarp”,1
Visby1,1
Lundegård (på Öland),1
Heilsbronn,1
Hermannakulla,1
Hallarsjö,1
Marienborg,1
”Lageholm”,1
utan ort /Danzig/,1
Schwaan,1
"Ön (""Nærboø"")",1
Vange ting,1
Frösshammar,1
"”Lygen” (Lye, Vågå)",1
Fröshammar,1
Odeshove,1
(Göstrings härad),1
Hunahals (=Hanhals),1
Hvalstad,1
”Sundaby uthi Husaby sockn”,1
Tensta kyrka,1
Finnekulla,1
Saint-Denis,1
Hjortheds kyrka,1
Norvika,1
Erfurt,1
”Kæælslööt”,1
”Kælslööt”,1
”Ingeassa”,1
”Hermannekulla”,1
”Enkione” trol. Änkeby i Torsångs socken,1
[Änkeby i Torsångs socken],1
”Hjelmvik” (på Orust),1
”Skatelef”,1
ting i ”Dalum”,1
”Harlestad”1,1
Stäkeholm / Stegeholm,1
Kischkow,1
”in castro Hasnensi”,1
”in castro nostro Gorghe”,1
Venedig,1
”in castro nostro Syoburgh”,1
”in castro nostro Syeburgh”,1
Lunds landstingsställe,1
Svansred (Svansjö),1
”Flyduby” (Flisby?),1
Scharfau,1
Berkhamstead,1
”Skooby” häradsting (Fyn),1
tinget i Åkerbo skeppslag,1
Tutsbury slott,1
Tingsstället Hamneda,1
Schweinitz,1
Cynna,1
Schaacken,1
”Diuidze”,1
I brödernas samtalsrum i Vadstena kloster,1
Skår,1
Hagby kyrka,1
”arem” (Ärja),1
Grieben,1
”Jassungi”,1
”Nintona”?,1
”Langby i Furuby sokn”,1
Söderköpings rådhus,1
Lundegård på Öland,1
Lunda i Fundbo sn1,1
Fastaraby,1
Åkerby i Fundbo sn,1
(Över-)Järna,1
Boenhof,1
Vada kyrka,1
Dramborg,1
Näshulta sn,1
Tingsstället Skultuna,1
”Guldborg” på Gotland,1
S:ta Klara kloster (vid Sthlm),1
Lagmansbo,1
”Hilulfsboda”,1
Nedre Hasla i Ekby socken,1
Förenäs i Edshults socken,1
Tingsstället vid Vaksala kyrka,1
Vatikanen,1
”Fallandafors”,1
Hattula by,1
Sandnäsby,1
Styra i Aska hd,1
Uskela by,1
Wistala by,1
Lundby i Åkerbo hd,1
Stenkyrka kyrkogård,1
Huseryd,1
”Æbleholm”,1
Rosendal,1
Vestbo häradsting,1
Räsla,1
Hamneda tingsställe,1
Johannes Svarteprästs gård,1
Tummelsta,1
Neuenburgs slott,1
Öster-Rekarnes tingsställe,1
Oppunda tingsställe,1
Gåsevadholm,1
Ingåsa tingsställe,1
"Runsten, på räfsteting",1
"Vadstena, ”in curia regia”",1
Glaskulla,1
Domnau,1
”Skindynohagh” (Valkebo hd),1
Ljuskala,1
Christburg,1
Finntorp,1
Askers sockenstämma,1
Espelunda i Fornåsa sn,1
Hammarhus på Bornholm,1
”Baholm”,1
”Lagholm” (Laholm?),1
Ravenswather,1
(Eklöt),1
Slottet Schoken,1
”vid Anunda hög”,1
Aleburg,1
”Skindynahagh” (Valkebo hd),1
Uttervad,1
Vä i Refteleds sn,1
Fenneslunda,1
”Lenhofda”,1
Oppunda hd,1
”Hofs” kyrka,1
Flätteryd,1
Anagnie,1
Anundahögs tingsställe,1
Sörby i Odensvi socken,1
”Wadzstadh”,1
Daga härads tingsställe,1
Fjäre häradsting,1
Hjerpås,1
”Fursby”,1
Virserum (Småland9,1
Hadeslöf (Halland),1
Vordberga (N. Hallands landsting),1
Canterbury,1
Bobergs hd:s tingsställe,1
”Folklandstingsstad”,1
Djurarp,1
Berga på Färingsö,1
”Hestholm”,1
Öknebo härads tingsstad,1
Tingstället Aspa löt,1
Jönköpings häradsting,1
Jönåkers härads tingsställe,1
”Risla”,1
Elfsta,1
Fluttorp (Halland),1
Siggeby,1
Helgesta,1
Ryzlo ting,1
"Mordviken, Bräcke socken",1
Äpplaholm,1
Anundahög,1
Sannagården på Hisingen,1
Birkevik,1
Neumark,1
Tingsstället Lundboberg,1
