toraid;tora_prefLabel;tora_altLabel;parish;hundred;tora_province;note;tora_note;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long;tora_coordinate_accuracy;tora_source;tora_source_url;toraid_url
4700;Tälleberg;;Kristberg;Bobergs h:d;Östergötland;missing på TK, ej, HK, jämft med k Gubborp 1698;missing på TK, ej, HK, se Gubborps karta 1698;6496679.8291;512273.1414;58.6103;15.2112;high;D8:73;https://sok.riksarkivet.se/bildvisning/R0000165_00048;https://sok.riksarkivet.se/topografi/4700
4701;Älgmyra;;Kristberg;Bobergs h:d;Östergötland;;;6501790.5483;518979.0975;58.656;15.3271;high;D8:78-79, D12:30-31;https://sok.riksarkivet.se/bildvisning/R0000165_00051, https://sok.riksarkivet.se/bildvisning/90003006_00025;https://sok.riksarkivet.se/topografi/4701
4702;Vika;;Kristberg;Bobergs h:d;Östergötland;;;6500205.8903;516862.8151;58.6418;15.2905;high;D8:78-79;https://sok.riksarkivet.se/bildvisning/R0000165_00051;https://sok.riksarkivet.se/topografi/4702
4703;Runnkärr;;Kristberg;Bobergs h:d;Östergötland;;;6495346.4873;513207.7489;58.5983;15.2272;high;D8:81;https://sok.riksarkivet.se/bildvisning/R0000165_00052;https://sok.riksarkivet.se/topografi/4703
4704;Segeby;;Kristberg;Bobergs h:d;Östergötland;;;6494779.8473;512591.6033;58.5932;15.2166;high;D8:81;https://sok.riksarkivet.se/bildvisning/R0000165_00052;https://sok.riksarkivet.se/topografi/4704
4705;Nockorp;;Kristberg;Bobergs h:d;Östergötland;;missing på TK, på HK;6492825.5208;515088.3657;58.5756;15.2594;high;D8:81;https://sok.riksarkivet.se/bildvisning/R0000165_00052;https://sok.riksarkivet.se/topografi/4705
4706;Hult;;Kristberg;Bobergs h:d;Östergötland;;Ej med på TK eller HK, se Olivehults karta från 1795;6495840.1824;514920.543;58.6027;15.2568;high;D8:80;https://sok.riksarkivet.se/bildvisning/R0000165_00052;https://sok.riksarkivet.se/topografi/4706
4707;Säter;;Kristberg;Bobergs h:d;Östergötland;;Ej med på TK eller HK. Se Olivehults karta från 1795 (littera N och A);6495691.4740;514198.1916;58.6014;15.2443;high;D8:80;https://sok.riksarkivet.se/bildvisning/R0000165_00052;https://sok.riksarkivet.se/topografi/4707
4708;Björknäs;;Kristberg;Bobergs h:d;Östergötland;;;6497802.4132;514527.1221;58.6203;15.2501;high;D8:82-83;https://sok.riksarkivet.se/bildvisning/R0000165_00053;https://sok.riksarkivet.se/topografi/4708
4709;Brännorp;;Kristberg;Bobergs h:d;Östergötland;;;6497856.5211;513634.2694;58.6208;15.2347;high;D8:82-83;https://sok.riksarkivet.se/bildvisning/R0000165_00053;https://sok.riksarkivet.se/topografi/4709
4710;Dal;;Kristberg;Bobergs h:d;Östergötland;Lite oklart läge, reg. efter läget på TK och HK;Oklart läge för registreringspunkt. Lite oklart läge, reg. efter läget på TK och HK.;6493661.2795;515318.3182;58.5831;15.2634;middle;D8:39-40;https://sok.riksarkivet.se/bildvisning/R0000165_00031;https://sok.riksarkivet.se/topografi/4710
