id;kommentar_tora;kommentar;framförställt;namn;efterställt;kategori;kartvolym;källa_kartakt;källa_url;toraid;toraid_url;tora_bebyggelseenhet;socken;härad;landskap;tora_sweref99_n;tora_sweref99_e;tora_wgs84_lat;tora_wgs84_long
22909;;;;Långhmyran;;naturnamn, ägonamn;Smedby;Smedby:52;https://sok.riksarkivet.se/bildvisning/R0000506_00030;162;https://sok.riksarkivet.se/topografi/162;Gumrarö;Österåker;Åkers skeppslag;Uppland;6602637,4769;690089,654;59,5189;18,3603
22910;;;;Långhsiön;;naturnamn;Smedby;Smedby:6-7;;126;https://sok.riksarkivet.se/topografi/126;Stava;Österåker;Åkers skeppslag;Uppland;6599887,1952;683777,599;59,497;18,2465
22911;;;ofwan för;Långmyran;;naturnamn, ägonamn;Smedby;Smedby:13;https://sok.riksarkivet.se/bildvisning/R0000506_00011;132;https://sok.riksarkivet.se/topografi/132;Åby;Österåker;Åkers skeppslag;Uppland;6600965,7299;688080,0883;59,5048;18,3233
22912;;;;Långsiön;;naturnamn;Smedby;Smedby:39;https://sok.riksarkivet.se/bildvisning/R0000506_00023;149;https://sok.riksarkivet.se/topografi/149;Hjälmsättra;Österåker;Åkers skeppslag;Uppland;6602504,7594;692735,521;59,5165;18,4068
22913;;;;Malma;ägor;bebyggelsenamn;Smedby;Smedby:18;https://sok.riksarkivet.se/bildvisning/R0000506_00014;;;;Österåker;Åkers skeppslag;;;;;
22914;;;;Margarete lundh;;bebyggelsenamn;Smedby;Smedby:19;https://sok.riksarkivet.se/bildvisning/R0000506_00014;166;https://sok.riksarkivet.se/topografi/166;Margretelund;Österåker;Åkers skeppslag;Uppland;6595873,126;689057,4579;59,4587;18,3361
22915;;;;Margarethae lundh;;bebyggelsenamn;Smedby;Smedby:Register;;166;https://sok.riksarkivet.se/topografi/166;Margretelund;Österåker;Åkers skeppslag;Uppland;6595873,126;689057,4579;59,4587;18,3361
22916;;;wedh;Margarethalund ;;bebyggelsenamn;Smedby;Smedby:1;https://sok.riksarkivet.se/bildvisning/R0000506_00005;166;https://sok.riksarkivet.se/topografi/166;Margretelund;Österåker;Åkers skeppslag;Uppland;6595873,126;689057,4579;59,4587;18,3361
22917;;;widh;Margarethelundh;;bebyggelsenamn;Smedby;Smedby:17;https://sok.riksarkivet.se/bildvisning/R0000506_00013;166;https://sok.riksarkivet.se/topografi/166;Margretelund;Österåker;Åkers skeppslag;Uppland;6595873,126;689057,4579;59,4587;18,3361
22918;;;widh;Margretlund;;bebyggelsenamn;Smedby;Smedby:Register;;166;https://sok.riksarkivet.se/topografi/166;Margretelund;Österåker;Åkers skeppslag;Uppland;6595873,126;689057,4579;59,4587;18,3361
22919;;;;Marsättra;;bebyggelsenamn;Smedby;Smedby:30-31;https://sok.riksarkivet.se/bildvisning/R0000506_00019;143;https://sok.riksarkivet.se/topografi/143;Marsättra;Österåker;Åkers skeppslag;Uppland;6598630,4117;693553,3239;59,4814;18,4177
22920;;;;Marsättra landett;;ägonamn;Smedby;Smedby:36;https://sok.riksarkivet.se/bildvisning/R0000506_00022;143;https://sok.riksarkivet.se/topografi/143;Marsättra;Österåker;Åkers skeppslag;Uppland;6598630,4117;693553,3239;59,4814;18,4177
22921;;;;Mobärs skärett;;naturnamn, ägonamn;Smedby;Smedby:36;https://sok.riksarkivet.se/bildvisning/R0000506_00022;146;https://sok.riksarkivet.se/topografi/146;Fåglarö;Österåker;Åkers skeppslag;Uppland;6597311,7628;696351,2818;59,4683;18,4658
22922;;;;Mora;;bebyggelsenamn;Smedby;Smedby:41;https://sok.riksarkivet.se/bildvisning/R0000506_00024;151;https://sok.riksarkivet.se/topografi/151;Mora;Österåker;Åkers skeppslag;Uppland;6604649,9373;696738,5527;59,5338;18,4794
22923;;;Till;Nobola;;bebyggelsenamn;Smedby;Smedby:43;https://sok.riksarkivet.se/bildvisning/R0000506_00025;154;https://sok.riksarkivet.se/topografi/154;Nyboda;Österåker;Åkers skeppslag;Uppland;6603061,3765;697333,8981;59,5193;18,4884
22924;;;;Norre;;bebyggelsenamn;Smedby;Smedby:Register;;163;https://sok.riksarkivet.se/topografi/163;Norrö;Österåker;Åkers skeppslag;Uppland;6600213,9409;684713,9642;59,4996;18,2633
22925;;;;Nybola;;bebyggelsenamn;Smedby;Smedby:43;https://sok.riksarkivet.se/bildvisning/R0000506_00025;154;https://sok.riksarkivet.se/topografi/154;Nyboda;Österåker;Åkers skeppslag;Uppland;6603061,3765;697333,8981;59,5193;18,4884
22926;;;;Nybola flanßen;;naturnamn;Smedby;Smedby:43;https://sok.riksarkivet.se/bildvisning/R0000506_00025;154;https://sok.riksarkivet.se/topografi/154;Nyboda;Österåker;Åkers skeppslag;Uppland;6603061,3765;697333,8981;59,5193;18,4884
22927;;;emot;Nyqwarn;;bebyggelsenamn;Smedby;Smedby:41;https://sok.riksarkivet.se/bildvisning/R0000506_00024;;;;Österåker;Åkers skeppslag;;;;;
22928;;;;Nårre;;bebyggelsenamn;Smedby;Smedby:53;https://sok.riksarkivet.se/bildvisning/R0000506_00030;163;https://sok.riksarkivet.se/topografi/163;Norrö;Österåker;Åkers skeppslag;Uppland;6600213,9409;684713,9642;59,4996;18,2633
22929;;;till;Näßby;gärde;bebyggelsenamn;Smedby;Smedby:5;https://sok.riksarkivet.se/bildvisning/R0000506_00007;;;;Österåker;Åkers skeppslag;;;;;
22930;;;;Nääs;;bebyggelsenamn;Smedby;Smedby:5;https://sok.riksarkivet.se/bildvisning/R0000506_00007;;;;Österåker;Åkers skeppslag;;;;;
22931;;;;Nääsby wijkan;;naturnamn;Smedby;Smedby:5;https://sok.riksarkivet.se/bildvisning/R0000506_00007;125;https://sok.riksarkivet.se/topografi/125;Täljö;Österåker;Åkers skeppslag;Uppland;6597340,8814;683868,5474;59,4742;18,2459
22932;;;;Oresholmen;;naturnamn, ägonamn;Smedby;Smedby:21;https://sok.riksarkivet.se/bildvisning/R0000506_00015;168;https://sok.riksarkivet.se/topografi/168;Lervik;Österåker;Åkers skeppslag;Uppland;6595597,9504;691704,2026;59,455;18,3824
22933;;;;Präst fiählen;;naturnamn;Smedby;Smedby:53;https://sok.riksarkivet.se/bildvisning/R0000506_00030;163;https://sok.riksarkivet.se/topografi/163;Norrö;Österåker;Åkers skeppslag;Uppland;6600213,9409;684713,9642;59,4996;18,2633
22934;;;;Prästefiälen;;naturnamn;Smedby;Smedby:4;https://sok.riksarkivet.se/bildvisning/R0000506_00007;124;https://sok.riksarkivet.se/topografi/124;Åkerstorp;Österåker;Åkers skeppslag;Uppland;6600004,5286;685417,7831;59,4974;18,2755
22935;;;herr;Päder Baner;;personnamn;Smedby;Smedby:4;https://sok.riksarkivet.se/bildvisning/R0000506_00007;124;https://sok.riksarkivet.se/topografi/124;Åkerstorp;Österåker;Åkers skeppslag;Uppland;6600004,5286;685417,7831;59,4974;18,2755
22936;;;herr;Päer Baneer;;personnamn;Smedby;Smedby:5;https://sok.riksarkivet.se/bildvisning/R0000506_00007;125;https://sok.riksarkivet.se/topografi/125;Täljö;Österåker;Åkers skeppslag;Uppland;6597340,8814;683868,5474;59,4742;18,2459
22937;;;;Qwallen;;naturnamn;Smedby;Smedby:19;https://sok.riksarkivet.se/bildvisning/R0000506_00014;166;https://sok.riksarkivet.se/topografi/166;Margretelund;Österåker;Åkers skeppslag;Uppland;6595873,126;689057,4579;59,4587;18,3361
22938;;;;Qwarnekärrett;;naturnamn, ägonamn;Smedby;Smedby:22-23;;170;https://sok.riksarkivet.se/topografi/170;Singö;Österåker;Åkers skeppslag;Uppland;6600721,9194;690265,9166;59,5016;18,3617
22939;;;medh;Qwißlinge;;bebyggelsenamn;Smedby;Smedby:14-15;https://sok.riksarkivet.se/bildvisning/R0000506_00012;;;;Österåker;Åkers skeppslag;;;;;
22940;;;;Qwißlingeby;;bebyggelsenamn;Smedby;Smedby:3;https://sok.riksarkivet.se/bildvisning/R0000506_00006;;;;Österåker;Åkers skeppslag;;;;;
22941;;;;Rijsengz fiälen;;naturnamn;Smedby;Smedby:30-31;https://sok.riksarkivet.se/bildvisning/R0000506_00019;143;https://sok.riksarkivet.se/topografi/143;Marsättra;Österåker;Åkers skeppslag;Uppland;6598630,4117;693553,3239;59,4814;18,4177
22942;;;både;Ringholma;;naturnamn, ägonamn;Smedby;Smedby:1;https://sok.riksarkivet.se/bildvisning/R0000506_00005;120;https://sok.riksarkivet.se/topografi/120;Smedby;Österåker;Åkers skeppslag;Uppland;6600417,789;686253,7166;59,5007;18,2906
