wkt_geom;id;toraid;note;coordinate_accuracy;sweref99_n;sweref99_e;wgs84_lat;wgs84_long;x_rt90;y_rt90;id_deprecated;namn_deprecated
Point (1818423.01236501825042069 8196064.63904001284390688);34033;2520;;medium;6548885.55891;576544.215296;59.07245934;16.33517185;1530398.33732261;6550229.84247203;4830500002;Kalsta
Point (1803611.97094362694770098 8188062.54994059912860394);34038;2522;;medium;6544624.994307;568991.212421;59.03549442;16.202122;1522791.80272707;6546059.29321483;4830500004;Nordankärr
Point (1804379.94429125706665218 8187478.32657626457512379);34037;2521;;medium;6544331.485635;569392.557261;59.0327941;16.20902082;1523189.71721104;6545760.85735185;4830500003;Stora Strängstorp
Point (1801253.14318494964390993 8190263.8624604782089591);34044;2524;;medium;6545735.939835;567755.169613;59.04566715;16.18093229;1521568.82322287;6547185.47342133;4830500006;Dal
Point (1820462.80859862663783133 8199117.46961359772831202);34053;2529;;medium;6550475.646315;577562.80943;59.08655114;16.35349565;1531436.41217718;6551808.06035573;4830500011;Ragnetorp
Point (1820485.35549121256917715 8199007.67945364769548178);34052;2529;;medium;6550419.468214;577575.558923;59.08604445;16.35369819;1531448.48660474;6551751.71302709;4830500011;Ragnetorp
Point (1807736.72095350199379027 8201832.19123107381165028);34055;2530;;medium;6551743.136489;570986.236725;59.09907737;16.23917526;1524873.34086271;6553155.3365072;4830500012;Valfalla
Point (1797537.76889993064105511 8199199.7185450904071331);34058;2532;;medium;6550296.903141;565761.43953;59.08693072;16.14755652;1519629.60326385;6551771.80496624;4830500014;Ingvallsboda
Point (1849327.78100379067473114 8156288.36951242014765739);34213;2453;;medium;6528737.072525;592952.889218;58.88832355;16.61279411;1546568.24027712;6529878.08617152;4820800015;Sjölunda
Point (1852943.3194296769797802 8158791.73155764769762754);34216;2455;;medium;6530076.026568;594792.756714;58.89994137;16.64527304;1548424.712732;6531195.20062278;4820800017;Valsta
Point (1853505.74075962067581713 8159219.34026399534195662);34215;2454;;medium;6530304.079682;595078.360205;58.90192546;16.65032536;1548713.1372502;6531419.86814222;4820800016;Åkra
Point (1852992.42696463852189481 8158967.33923381939530373);34218;2455;;medium;6530167.364457;594815.938186;58.90075619;16.64571419;1548449.00111248;6531286.28204958;4820800017;Valsta
Point (1853025.61687168851494789 8158808.31958334986120462);34217;2455;;medium;6530085.643154;594835.134787;58.90001834;16.64601234;1548467.21739784;6531204.30876546;4820800017;Valsta
Point (1855756.31977660185657442 8163360.6604302991181612);34196;2459;;medium;6532471.54723;596189.551485;58.92113518;16.67054266;1549850.73900688;6533574.48221919;4820800021;Fågelsundstorp
Point (1846602.5021677166223526 8163486.41114821378141642);34190;2458;;medium;6532421.126085;591453.793462;58.92171831;16.58831251;1545113.17579222;6533581.15022345;4820800020;Skaresta
Point (1853501.47242060326971114 8164156.39166613947600126);34199;2461;;medium;6532853.373622;595013.250588;58.92482499;16.65028702;1548678.74712245;6533970.58803211;4820800023;Löftorp
Point (1853909.21846632729284465 8163899.34557753521949053);34201;2460;;medium;6532725.893108;595227.388611;58.92363311;16.65394986;1548891.40180579;6533840.4934023;4820800022;Källtorp
Point (1852612.12584709236398339 8165878.24151511956006289);34258;2463;;medium;6533730.771262;594531.519855;58.93280788;16.64229788;1548207.47528506;6534854.01552771;4820800025;Sjövik
Point (1851992.69358558929525316 8166118.26899668108671904);34257;2462;;medium;6533846.79175;594208.235862;58.93392056;16.63673343;1547885.50887117;6534973.96379955;4820800024;Brogetorp
Point (1830174.6941454189363867 8176479.9299719026312232);34126;2492;;medium;6538931.079321;582813.084882;58.98191908;16.440739;1536548.73537381;6540197.01687733;4830300008;Ö Vegred
Point (1828863.67450466519221663 8177510.1062092175707221);34135;2494;;medium;6539447.440648;582124.858859;58.98668753;16.42896191;1535866.55652083;6540721.81906179;4830300010;Väster Vegred
Point (1828993.63849775330163538 8177406.24159033969044685);34134;2494;;medium;6539395.353287;582193.09495;58.98620679;16.4301294;1535934.18230491;6540668.89453512;4830300010;Väster Vegred
Point (1831534.46072334563359618 8175836.76153789833188057);34137;2496;;medium;6538614.789568;583522.332805;58.97894166;16.45295399;1537254.35522005;6539872.08638366;4830300012;Biesta
Point (1832093.7194703915156424 8175990.96766196936368942);34139;2495;;medium;6538700.556908;583809.366814;58.97965555;16.4579779;1537542.49986523;6539954.41342514;4830300011;Berg
Point (1837636.98380378726869822 8186872.84577768109738827);34240;2513;;medium;6544368.504856;586545.045067;59.02999529;16.50777389;1540347.2971049;6545590.83603651;4830400017;Ekeby
