issue_place_raw,n_charters,query_name,modern_name,qid,lat,lon,country,source,confidence,note
Falkenberg,5,Falkenberg,Falkenberg,Q54766,56.901418,12.49709,Sweden,wikidata,high,
Flyinge,5,Flyinge,Flyinge,Q2234445,55.752136,13.365891,Sweden,wikidata,high,
Genova,5,Genova,Genoa,Q1449,44.407222,8.933889,Italy,wikidata,high,
Hads herredsting,5,Hads herredsting,,,,,,unresolved,none,
Hindsgavl,5,Hindsgavl,,,,,,unresolved,none,
Middelfart,5,Middelfart,Middelfart Municipality,Q21140,55.5,9.75,Denmark,wikidata,high,
Napoli,5,Napoli,Naples,Q2634,40.835833,14.248611,Italy,wikidata,high,
Nyborg slot,5,Nyborg slot,,,,,,unresolved,none,
Nîmes,5,Nîmes,Nîmes,Q42807,43.838333,4.359722,France,wikidata,high,
Reinfeld,5,Reinfeld,Reinfeld,Q539463,53.833333,10.483333,Germany,wikidata,high,
Sallinge herredsting,5,Sallinge herredsting,,,,,,unresolved,none,
Skåne landsting,5,Skåne landsting,,,,,,unresolved,none,
Slagelse byting,5,Slagelse byting,,,,,,unresolved,none,
Spandau,5,Spandau,Spandau,Q158083,52.55,13.2,Germany,wikidata,high,
Tommerup,5,Tommerup,Östra Tommarp,Q307351,55.535318,14.23757,Sweden,wikidata,high,
